Temparature;ON/OFF;TIME;DateTime
20,5;1;10:19:17:945;2023-02-10 10:19:17:945
20,5;1;10:20:17:950;2023-02-10 10:20:17:950
20,5;1;10:21:17:955;2023-02-10 10:21:17:955
20,5;1;10:22:17:950;2023-02-10 10:22:17:950
20,5;1;10:23:17:950;2023-02-10 10:23:17:950
20,5;1;10:24:17:948;2023-02-10 10:24:17:948
20,5;1;10:25:17:949;2023-02-10 10:25:17:949
20,6;0;10:26:17:944;2023-02-10 10:26:17:944
20,6;0;10:27:17:951;2023-02-10 10:27:17:951
20,6;0;10:28:17:926;2023-02-10 10:28:17:926
20,7;0;10:29:17:928;2023-02-10 10:29:17:928
20,7;0;10:30:17:926;2023-02-10 10:30:17:926
20,7;0;10:31:17:926;2023-02-10 10:31:17:926
20,8;0;10:32:17:933;2023-02-10 10:32:17:933
20,8;0;10:33:17:925;2023-02-10 10:33:17:925
20,8;0;10:34:17:926;2023-02-10 10:34:17:926
20,9;0;10:35:17:919;2023-02-10 10:35:17:919
20,9;0;10:36:17:920;2023-02-10 10:36:17:920
20,9;0;10:36:31:904;2023-02-10 10:36:31:904
21,0;0;10:37:17:919;2023-02-10 10:37:17:919
21,0;0;10:38:17:919;2023-02-10 10:38:17:919
21,0;0;10:39:17:935;2023-02-10 10:39:17:935
21,0;0;10:40:17:902;2023-02-10 10:40:17:902
21,0;0;10:41:17:903;2023-02-10 10:41:17:903
21,0;0;10:42:17:906;2023-02-10 10:42:17:906
21,0;0;10:43:17:903;2023-02-10 10:43:17:903
21,1;0;10:44:17:906;2023-02-10 10:44:17:906
21,0;0;10:45:17:902;2023-02-10 10:45:17:902
21,0;0;10:46:17:901;2023-02-10 10:46:17:901
21,0;0;10:47:17:902;2023-02-10 10:47:17:902
21,0;0;10:48:17:899;2023-02-10 10:48:17:899
21,0;0;10:49:17:897;2023-02-10 10:49:17:897
21,0;0;10:50:17:877;2023-02-10 10:50:17:877
20,9;0;10:51:17:879;2023-02-10 10:51:17:879
20,9;0;10:52:17:877;2023-02-10 10:52:17:877
20,9;0;10:53:17:871;2023-02-10 10:53:17:871
