DateTime;Temparature
2023-01-26 18:00:48:352;17,8
2023-01-26 18:00:58:278;17,9
2023-01-26 18:01:48:288;17,9
2023-01-26 18:02:48:303;17,9
2023-01-26 18:03:48:280;18,0
2023-01-26 18:04:48:282;18,1
2023-01-26 18:05:48:682;18,1
2023-01-26 18:06:48:301;18,2
2023-01-26 18:07:48:301;18,3
2023-01-26 18:08:48:299;18,3
2023-01-26 18:09:48:299;18,3
2023-01-26 18:10:48:299;18,4
2023-01-26 18:11:48:297;18,5
2023-01-26 18:12:48:654;18,5
2023-01-26 18:13:48:296;18,6
2023-01-26 18:14:48:296;18,7
2023-01-26 18:15:48:294;18,7
2023-01-26 18:16:48:294;18,8
2023-01-26 18:17:48:274;18,9
2023-01-26 18:18:48:275;18,9
2023-01-26 18:19:48:274;19,0
2023-01-26 18:20:48:271;19,0
2023-01-26 18:21:48:272;19,1
2023-01-26 18:22:48:273;19,1
2023-01-26 18:23:48:273;19,2
2023-01-26 18:24:48:271;19,2
2023-01-26 18:25:48:272;19,3
2023-01-26 18:26:48:272;19,4
2023-01-26 18:27:48:275;19,4
2023-01-26 18:28:48:325;19,5
2023-01-26 18:29:48:271;19,5
2023-01-26 18:30:48:271;19,5
2023-01-26 18:31:48:278;19,6
2023-01-26 18:32:48:270;19,6
2023-01-26 18:33:48:270;19,7
2023-01-26 18:34:48:269;19,8
2023-01-26 18:35:48:265;19,8
2023-01-26 18:36:18:270;19,9
2023-01-26 18:36:48:269;19,9
2023-01-26 18:37:48:266;19,9
2023-01-26 18:38:48:268;20,0
2023-01-26 18:39:48:270;20,0
2023-01-26 18:40:48:267;20,1
2023-01-26 18:41:48:267;20,1
2023-01-26 18:42:48:267;20,2
2023-01-26 18:43:48:246;20,2
2023-01-26 18:44:48:245;20,3
2023-01-26 18:45:48:245;20,3
2023-01-26 18:46:48:247;20,4
2023-01-26 18:47:48:244;20,4
2023-01-26 18:48:48:248;20,5
2023-01-26 18:49:48:247;20,5
2023-01-26 18:50:48:247;20,5
2023-01-26 18:51:48:248;20,6
2023-01-26 18:52:48:245;20,6
2023-01-26 18:53:48:245;20,6
2023-01-26 18:54:48:247;20,7
2023-01-26 18:55:48:242;20,7
2023-01-26 18:56:48:244;20,7
2023-01-26 18:57:48:245;20,8
2023-01-26 18:58:48:243;20,8
2023-01-26 18:59:48:253;20,8
2023-01-26 19:00:48:225;20,8
2023-01-26 19:01:48:227;20,9
2023-01-26 19:02:48:224;20,9
2023-01-26 19:03:48:224;20,9
2023-01-26 19:04:48:224;20,9
2023-01-26 19:05:48:222;20,9
2023-01-26 19:06:48:220;20,9
2023-01-26 19:07:48:223;20,9
2023-01-26 19:08:48:220;20,9
2023-01-26 19:09:48:222;21,0
2023-01-26 19:10:48:224;20,9
2023-01-26 19:11:48:216;20,9
2023-01-26 19:12:48:219;20,9
2023-01-26 19:13:48:219;20,9
2023-01-26 19:14:48:219;20,9
2023-01-26 19:15:48:219;20,8
2023-01-26 19:16:48:216;20,8
2023-01-26 19:17:48:218;20,8
2023-01-26 19:18:48:217;20,8
2023-01-26 19:19:48:200;20,7
2023-01-26 19:20:48:196;20,7
2023-01-26 19:21:48:193;20,7
2023-01-26 19:22:48:198;20,6
2023-01-26 19:23:48:193;20,6
2023-01-26 19:24:48:194;20,6
2023-01-26 19:25:48:191;20,6
2023-01-26 19:26:48:216;20,5
2023-01-26 19:27:48:193;20,4
2023-01-26 19:28:48:191;20,4
2023-01-26 19:29:48:193;20,3
2023-01-26 19:30:48:201;20,3
2023-01-26 19:31:48:191;20,2
2023-01-26 19:32:48:191;20,2
2023-01-26 19:33:48:190;20,2
2023-01-26 19:34:48:229;20,2
2023-01-26 19:35:48:189;20,2
2023-01-26 19:36:48:189;20,3
2023-01-26 19:37:48:190;20,3
2023-01-26 19:38:48:189;20,3
2023-01-26 19:39:48:269;20,4
2023-01-26 19:40:48:168;20,4
2023-01-26 19:41:48:171;20,5
2023-01-26 19:42:48:187;20,5
